"date","RH","WSM","IXIC"
2017-02-01,0,0,0
2017-02-02,0.03,0.01,0
2017-02-03,0.01,0,0
2017-02-06,0,-0.01,0
2017-02-07,-0.04,-0.01,0.01
2017-02-08,-0.03,-0.02,0.01
2017-02-09,-0.02,0,0.01
2017-02-10,-0.04,0.01,0.02
2017-02-13,-0.01,-0.01,0.02
2017-02-14,0.02,0.03,0.02
2017-02-15,0.06,0.04,0.03
2017-02-16,0.04,0.01,0.03
2017-02-17,0.02,0.01,0.03
2017-02-21,0.01,0.02,0.04
2017-02-22,-0.01,0.02,0.04
2017-02-23,-0.04,0,0.03
2017-02-24,0.19,0.02,0.04
2017-02-27,0.24,0.06,0.04
2017-02-28,0.16,0.02,0.03
2017-03-01,0.14,0.04,0.05
2017-03-02,0.19,0.06,0.04
2017-03-03,0.19,0.06,0.04
2017-03-06,0.21,0.02,0.04
2017-03-07,0.23,0.01,0.03
2017-03-08,0.28,0.03,0.03
2017-03-09,0.27,0,0.03
2017-03-10,0.35,0.01,0.04
2017-03-13,0.26,0,0.04
2017-03-14,0.28,0,0.04
2017-03-15,0.34,0.01,0.05
2017-03-16,0.38,0.04,0.05
2017-03-17,0.38,0.05,0.05
2017-03-20,0.36,0.02,0.05
2017-03-21,0.34,0.01,0.03
2017-03-22,0.41,0.02,0.03
2017-03-23,0.41,0.02,0.03
2017-03-24,0.41,0.01,0.03
2017-03-27,0.4,0.03,0.04
2017-03-28,0.45,0.04,0.04
2017-03-29,0.66,0.09,0.05
2017-03-30,0.71,0.11,0.05
2017-03-31,0.76,0.13,0.05
2017-04-03,0.75,0.13,0.04
2017-04-04,0.79,0.14,0.05
2017-04-05,0.74,0.13,0.04
2017-04-06,0.8,0.15,0.04
2017-04-07,0.79,0.15,0.04
2017-04-10,0.81,0.17,0.04
2017-04-11,0.81,0.17,0.04
2017-04-12,0.79,0.14,0.03
2017-04-13,0.79,0.15,0.03
2017-04-17,0.79,0.14,0.04
2017-04-18,0.78,0.14,0.04
2017-04-19,0.81,0.15,0.04
2017-04-20,0.82,0.16,0.05
2017-04-21,0.85,0.15,0.05
2017-04-24,0.84,0.15,0.06
2017-04-25,0.84,0.16,0.07
2017-04-26,0.83,0.16,0.07
2017-04-27,0.86,0.16,0.07
2017-04-28,0.83,0.15,0.07
2017-05-01,0.82,0.11,0.08
2017-05-02,0.85,0.14,0.08
2017-05-03,0.97,0.14,0.08
2017-05-04,0.98,0.14,0.08
2017-05-05,1.18,0.14,0.08
2017-05-08,1.21,0.13,0.08
2017-05-09,1.23,0.14,0.08
2017-05-10,1.29,0.16,0.09
2017-05-11,1.18,0.12,0.08
2017-05-12,1.17,0.09,0.08
2017-05-15,1.17,0.09,0.09
2017-05-16,1.25,0.07,0.09
2017-05-17,1.18,0.06,0.07
2017-05-18,1.18,0.06,0.07
2017-05-19,1.2,0.05,0.08
2017-05-22,1.2,0.05,0.09
2017-05-23,1.23,0.04,0.09
2017-05-24,1.15,0.05,0.09
2017-05-25,1.17,0.04,0.1
2017-05-26,1.2,0.04,0.1
2017-05-30,1.1,0.03,0.1
2017-05-31,1.14,0.03,0.1
2017-06-01,1.18,0.03,0.11
2017-06-02,0.62,0.03,0.12
2017-06-05,0.75,-0.01,0.12
2017-06-06,0.73,-0.01,0.11
2017-06-07,0.79,-0.03,0.12
2017-06-08,0.89,-0.01,0.12
2017-06-09,0.93,0.03,0.1
2017-06-12,0.96,0.05,0.09
2017-06-13,0.99,0.04,0.1
2017-06-14,1.03,0.04,0.1
2017-06-15,1,0.04,0.09
2017-06-16,1,0.02,0.09
2017-06-19,1.04,0.02,0.11
2017-06-20,1.02,0,0.1
2017-06-21,1.06,-0.01,0.1
2017-06-22,1.16,0,0.11
2017-06-23,1.26,0.01,0.11
2017-06-26,1.33,0.01,0.11
2017-06-27,1.43,0.03,0.09
2017-06-28,1.49,0.04,0.1
2017-06-29,1.46,0.03,0.09
2017-06-30,1.46,0.03,0.09
2017-07-03,1.48,0.04,0.08
2017-07-05,1.57,0.02,0.09
2017-07-06,1.58,0.02,0.08
2017-07-07,1.39,0,0.09
2017-07-10,1.31,-0.03,0.09
2017-07-11,1.36,-0.03,0.1
2017-07-12,1.56,-0.03,0.11
2017-07-13,1.68,-0.01,0.11
2017-07-14,1.51,-0.04,0.12
2017-07-17,1.6,-0.04,0.12
2017-07-18,1.86,-0.05,0.12
2017-07-19,1.95,-0.04,0.13
2017-07-20,1.92,-0.03,0.13
2017-07-21,1.82,-0.03,0.13
2017-07-24,1.87,-0.05,0.14
2017-07-25,1.77,-0.03,0.14
2017-07-26,1.7,-0.03,0.14
2017-07-27,1.72,0,0.13
2017-07-28,1.66,-0.01,0.13
2017-07-31,1.48,-0.01,0.13
2017-08-01,1.4,-0.01,0.13
2017-08-02,1.31,-0.01,0.13
2017-08-03,1.25,-0.04,0.12
2017-08-04,1.17,-0.02,0.13
2017-08-07,1.23,0.01,0.13
2017-08-08,1.18,0.01,0.13
2017-08-09,1.18,0,0.13
2017-08-10,1.14,-0.03,0.1
2017-08-11,1.13,-0.02,0.11
2017-08-14,1.17,-0.01,0.12
2017-08-15,0.99,-0.05,0.12
2017-08-16,0.94,-0.04,0.12
2017-08-17,0.89,-0.05,0.1
2017-08-18,0.9,-0.07,0.1
2017-08-21,0.84,-0.06,0.1
2017-08-22,0.84,-0.08,0.12
2017-08-23,0.78,-0.07,0.11
2017-08-24,0.73,-0.04,0.11
2017-08-25,0.73,-0.03,0.11
2017-08-28,0.72,-0.02,0.11
2017-08-29,0.72,-0.01,0.12
2017-08-30,0.73,-0.02,0.13
2017-08-31,0.78,-0.01,0.14
2017-09-01,0.85,0,0.14
2017-09-05,0.89,0.01,0.13
2017-09-06,0.88,0.01,0.13
2017-09-07,1.73,0.01,0.13
2017-09-08,1.69,0.01,0.13
2017-09-11,1.61,0.02,0.14
2017-09-12,1.71,0.05,0.14
2017-09-13,1.7,0.05,0.14
2017-09-14,1.71,0.04,0.14
2017-09-15,1.79,0.05,0.14
2017-09-18,1.75,0.04,0.14
2017-09-19,1.81,0.03,0.15
2017-09-20,1.8,0.01,0.14
2017-09-21,1.77,0,0.14
2017-09-22,1.75,0,0.14
2017-09-25,1.73,0.06,0.13
2017-09-26,1.64,0.07,0.13
2017-09-27,1.73,0.1,0.14
2017-09-28,1.71,0.09,0.14
2017-09-29,1.68,0.07,0.15
2017-10-02,1.72,0.07,0.15
2017-10-03,1.83,0.08,0.16
2017-10-04,1.89,0.08,0.16
2017-10-05,1.87,0.1,0.17
2017-10-06,1.91,0.12,0.17
2017-10-09,1.77,0.11,0.17
2017-10-10,1.83,0.1,0.17
2017-10-11,1.94,0.09,0.17
2017-10-12,1.94,0.05,0.17
2017-10-13,2.05,0.07,0.17
2017-10-16,2.03,0.07,0.17
2017-10-17,2,0.09,0.17
2017-10-18,2.04,0.09,0.17
2017-10-19,2.06,0.1,0.17
2017-10-20,2.19,0.13,0.17
2017-10-23,2.22,0.13,0.17
2017-10-24,2.25,0.15,0.17
2017-10-25,2.16,0.13,0.16
2017-10-26,2.31,0.13,0.16
2017-10-27,2.3,0.13,0.19
2017-10-30,2.35,0.12,0.19
2017-10-31,2.43,0.11,0.19
2017-11-01,2.5,0.11,0.19
2017-11-02,2.4,0.08,0.19
2017-11-03,2.31,0.08,0.2
2017-11-06,2.28,0.08,0.2
2017-11-07,2.18,0.03,0.2
2017-11-08,2.27,0.04,0.2
2017-11-09,2.13,0.06,0.2
2017-11-10,2.26,0.08,0.2
2017-11-13,2.34,0.11,0.2
2017-11-14,2.38,0.11,0.19
2017-11-15,2.17,0.1,0.19
2017-11-16,2.99,0.14,0.2
2017-11-17,2.9,-0.01,0.2
2017-11-20,2.78,0.01,0.2
2017-11-21,2.73,-0.02,0.22
2017-11-22,2.79,0,0.22
2017-11-24,2.78,0,0.22
2017-11-27,2.7,-0.01,0.22
2017-11-28,2.89,0.01,0.23
2017-11-29,2.77,0.11,0.21
2017-11-30,2.86,0.1,0.22
2017-12-01,2.88,0.11,0.21
2017-12-04,2.9,0.17,0.2
2017-12-05,2.96,0.16,0.2
2017-12-06,2.99,0.15,0.2
2017-12-07,3.03,0.15,0.21
2017-12-08,3,0.15,0.21
2017-12-11,2.93,0.12,0.22
2017-12-12,2.69,0.1,0.22
2017-12-13,2.84,0.13,0.22
2017-12-14,2.76,0.09,0.22
2017-12-15,2.8,0.09,0.23
2017-12-18,2.96,0.14,0.24
2017-12-19,2.88,0.16,0.23
2017-12-20,2.9,0.16,0.23
2017-12-21,2.8,0.13,0.23
2017-12-22,2.54,0.13,0.23
2017-12-26,2.5,0.15,0.23
2017-12-27,2.45,0.15,0.23
2017-12-28,2.46,0.13,0.23
2017-12-29,2.28,0.12,0.22
2018-01-02,2.42,0.14,0.24
2018-01-03,2.48,0.15,0.25
2018-01-04,2.43,0.14,0.25
2018-01-05,2.54,0.15,0.26
2018-01-08,2.59,0.16,0.27
2018-01-09,2.63,0.15,0.27
2018-01-10,2.48,0.15,0.27
2018-01-11,2.63,0.18,0.28
2018-01-12,2.65,0.2,0.29
2018-01-16,2.53,0.16,0.28
2018-01-17,2.63,0.17,0.29
2018-01-18,2.68,0.18,0.29
2018-01-19,2.82,0.19,0.3
2018-01-22,2.95,0.2,0.31
2018-01-23,2.98,0.19,0.32
2018-01-24,2.93,0.17,0.31
2018-01-25,2.96,0.16,0.31
2018-01-26,2.96,0.16,0.33
2018-01-29,2.91,0.15,0.32
2018-01-30,2.84,0.13,0.31
2018-01-31,2.58,0.11,0.31
2018-02-01,2.51,0.11,0.31
2018-02-02,2.51,0.08,0.28
2018-02-05,2.42,0.07,0.23
2018-02-06,2.53,0.12,0.26
2018-02-07,2.46,0.13,0.25
2018-02-08,2.27,0.1,0.2
2018-02-09,2.3,0.13,0.22
2018-02-12,2.38,0.14,0.24
2018-02-13,2.38,0.15,0.24
2018-02-14,2.53,0.19,0.27
2018-02-15,2.5,0.17,0.29
2018-02-16,2.56,0.18,0.28
2018-02-20,2.39,0.14,0.28
2018-02-21,2.45,0.14,0.28
2018-02-22,2.48,0.16,0.28
2018-02-23,2.37,0.18,0.3
2018-02-26,2.29,0.15,0.32
2018-02-27,2.24,0.11,0.3
2018-02-28,2.23,0.13,0.29
2018-03-01,2.23,0.13,0.27
2018-03-02,2.06,0.15,0.29
2018-03-05,1.9,0.14,0.3
2018-03-06,2.05,0.16,0.31
2018-03-07,2.02,0.14,0.31
2018-03-08,2.04,0.14,0.32
2018-03-09,1.96,0.15,0.34
2018-03-12,1.91,0.13,0.34
2018-03-13,1.89,0.15,0.33
2018-03-14,1.95,0.17,0.33
2018-03-15,1.92,0.2,0.33
2018-03-16,1.99,0.2,0.33
2018-03-19,1.9,0.17,0.3
2018-03-20,1.95,0.16,0.31
2018-03-21,1.95,0.15,0.3
2018-03-22,1.97,0.1,0.27
2018-03-23,1.96,0.09,0.24
2018-03-26,1.99,0.12,0.28
2018-03-27,1.87,0.12,0.24
2018-03-28,2.51,0.13,0.23
2018-03-29,2.63,0.15,0.25
2018-04-02,2.41,0.08,0.22
2018-04-03,2.32,0.09,0.23
2018-04-04,2.38,0.11,0.25
2018-04-05,2.47,0.13,0.25
2018-04-06,2.39,0.09,0.23
2018-04-09,2.32,0.07,0.23
2018-04-10,2.35,0.1,0.26
2018-04-11,2.3,0.09,0.25
2018-04-12,2.3,0.06,0.27
2018-04-13,2.25,0.04,0.26
2018-04-16,2.3,0.05,0.27
2018-04-17,2.32,0.06,0.29
2018-04-18,2.37,0.08,0.29
2018-04-19,2.35,0.07,0.28
2018-04-20,2.37,0.06,0.27
2018-04-23,2.44,0.07,0.26
2018-04-24,2.29,0.06,0.24
2018-04-25,2.31,0.07,0.24
2018-04-26,2.37,0.07,0.26
2018-04-27,2.57,0.08,0.26
2018-04-30,2.64,0.05,0.25
2018-05-01,2.64,0.05,0.26
2018-05-02,2.74,0.06,0.26
2018-05-03,2.64,0.06,0.26
2018-05-04,2.84,0.09,0.28
2018-05-07,2.77,0.08,0.29
2018-05-08,2.86,0.07,0.29
2018-05-09,2.88,0.07,0.3
2018-05-10,2.86,0.05,0.31
2018-05-11,2.86,0.06,0.31
2018-05-14,2.88,0.07,0.31
2018-05-15,2.82,0.06,0.3
2018-05-16,2.89,0.06,0.31
2018-05-17,2.88,0.07,0.31
2018-05-18,2.88,0.07,0.3
2018-05-21,2.95,0.05,0.31
2018-05-22,2.75,0.04,0.31
2018-05-23,2.83,0.08,0.32
2018-05-24,2.9,0.14,0.32
2018-05-25,2.97,0.16,0.32
2018-05-29,3.02,0.2,0.31
2018-05-30,2.91,0.22,0.32
2018-05-31,2.72,0.21,0.32
2018-06-01,2.74,0.2,0.34
2018-06-04,2.85,0.29,0.35
2018-06-05,3.04,0.33,0.35
2018-06-06,3.19,0.35,0.36
2018-06-07,3.21,0.35,0.35
2018-06-08,3.32,0.36,0.35
2018-06-11,3.52,0.34,0.36
2018-06-12,4.9,0.36,0.37
2018-06-13,4.9,0.33,0.36
2018-06-14,4.88,0.33,0.38
2018-06-15,5.13,0.37,0.37
2018-06-18,4.88,0.39,0.37
2018-06-19,4.78,0.39,0.37
2018-06-20,4.78,0.42,0.38
2018-06-21,4.67,0.41,0.37
2018-06-22,4.77,0.39,0.36
2018-06-25,4.56,0.35,0.33
2018-06-26,4.55,0.36,0.34
2018-06-27,4.5,0.34,0.32
2018-06-28,4.4,0.34,0.33
2018-06-29,4.32,0.35,0.33
2018-07-02,4.3,0.34,0.34
2018-07-03,4.28,0.35,0.33
2018-07-05,4.19,0.35,0.34
2018-07-06,4.17,0.34,0.36
2018-07-09,4.22,0.35,0.37
2018-07-10,4.29,0.35,0.38
2018-07-11,4.06,0.33,0.37
2018-07-12,4.08,0.33,0.39
2018-07-13,4.46,0.34,0.39
2018-07-16,4.25,0.34,0.38
2018-07-17,4.27,0.36,0.39
2018-07-18,4.09,0.35,0.39
2018-07-19,4.28,0.39,0.39
2018-07-20,4.13,0.36,0.39
2018-07-23,4.21,0.34,0.39
2018-07-24,4.24,0.31,0.39
2018-07-25,4.22,0.33,0.41
2018-07-26,4.31,0.33,0.39
2018-07-27,4.24,0.28,0.37
2018-07-30,4.16,0.3,0.35
2018-07-31,4.18,0.29,0.36
2018-08-01,4.05,0.25,0.37
2018-08-02,4.05,0.27,0.38
2018-08-03,4.13,0.28,0.38
2018-08-06,4.28,0.28,0.39
2018-08-07,4.33,0.29,0.4
2018-08-08,4.38,0.31,0.4
2018-08-09,4.51,0.31,0.4
2018-08-10,4.5,0.29,0.39
2018-08-13,4.78,0.28,0.39
2018-08-14,4.83,0.32,0.39
2018-08-15,4.66,0.3,0.38
2018-08-16,4.69,0.28,0.38
2018-08-17,4.75,0.31,0.39
2018-08-20,4.7,0.32,0.39
2018-08-21,4.73,0.33,0.39
2018-08-22,4.9,0.38,0.4
2018-08-23,5.03,0.61,0.4
2018-08-24,4.96,0.58,0.41
2018-08-27,4.85,0.52,0.42
2018-08-28,5.06,0.52,0.42
2018-08-29,5.05,0.51,0.44
2018-08-30,4.98,0.51,0.43
